模块名称,型号 / 规格,数量,单价（元）,小计（元）,说明
主控 MCU,STM32F407ZGT6,1,85.00,85.00,Cortex-M4 内核，1MB Flash
蜂窝模组,广和通 L610,1,259.00,259.00,LTE Cat.1 bis 模组
显示屏,4.3 寸 TFT LCD + 触控,1,65.00,65.00,320×480 分辨率，电阻 / 电容触摸
温湿度传感器,DHT11,1,6.00,6.00,单总线数字温湿度采集
光照传感器,BH1750（GY-302）,1,5.00,5.00,I2C 数字光照传感器
语音模块,离线语音识别模块,1,40.00,40.00,二线编码 / UART 输出
蓝牙模块,HC-05 蓝牙串口,1,14.00,14.00,SPP 蓝牙串口透传
SPI Flash,W25Q128,1,6.00,6.00,16MB SPI Flash，存储数据
OLED 显示屏,0.96 寸 OLED,1,8.00,8.00,128×64，I2C 接口
矩阵键盘,4×4 矩阵键盘,1,3.50,3.50,16 键薄膜键盘，人机交互
电磁锁 / 继电器,5V 继电器模块,2,2.50,5.00,用于门锁、窗帘等外设控制
蜂鸣器,有源蜂鸣器,1,5.00,5.00,声音提示与超限告警
PCB,定制 PCB,1 套,28.80,28.80,底板与外围电路
合计,-,-,-,525.30,整套硬件物料总造价
（内容由AI生成）
